Time,Engine speed,AFR desired,02 Correction,Boost actual,Boost requested,Boost duty,Intake temp,TPS,Timing advance,Knock cyl 1,Knock cyl 2,Knock cyl 3,Knock cyl 4,Engine Load,Engine load spec.,Mass air flow,Coolant temp,Battery voltage,Injection time
09:52:46:9213,720,,-2.7,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:47:0633,720,,-2.7,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:47:1653,720,,-2.7,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:47:2462,720,,-2.7,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:47:3277,720,,-2.7,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:47:4169,720,,-2.7,104.5,104.5,2.0,,2.4,0.8,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:47:5006,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:47:6424,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:47:7238,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,63.0,,
09:52:47:8458,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:47:9271,720,,-2.7,104.5,104.5,2.0,,2.4,-3.0,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:0089,720,,-2.7,104.5,104.5,2.0,,2.4,-3.0,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:1303,720,,-2.7,104.5,104.5,2.0,,2.4,-3.0,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:2320,720,,-2.7,104.5,104.5,2.0,,2.4,-3.0,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:3180,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:4148,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:4959,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:5977,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:6788,720,,-2.7,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:7599,720,,-2.7,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:8415,720,,-2.7,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:48:9428,720,,-2.7,104.5,104.5,2.0,,2.4,-1.5,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:49:0443,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:49:1461,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:49:2271,720,,-2.7,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:49:3089,760,,-3.1,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:49:3897,760,,-3.1,104.5,104.5,2.0,,2.4,1.5,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:49:4709,760,,-3.1,104.5,104.5,2.0,,2.4,1.5,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:49:5728,760,,-3.1,104.5,104.5,2.0,,2.4,1.5,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:49:6740,720,,-3.1,104.5,104.5,2.0,,2.4,1.5,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
09:52:49:7758,720,,-3.1,104.5,104.5,2.0,,2.4,-2.3,0.00,0.00,0.00,0.00,15.0,,2.5,64.0,,
